Memorial Day,Province_State,Country_Region,Confirmed,Deaths,Recovered
,South Carolina,US,188995,4076,98621
,South Dakota,US,58696,567,40668
,Tennessee,US,293381,3761,259438
,Texas,US,1035117,19461,831800
,Utah,US,139720,678,97269
,Vermont,US,2535,59,1947
,Virgin Islands,US,1413,23,1357
,Virginia,US,196506,3741,21863
,Washington,US,120011,2482,
,West Virginia,US,30201,553,21877
,Wisconsin,US,301349,2457,219304
,Wyoming,US,19374,127,11234
